id,title_en,title_ar,description_en,description_ar,country_en,country_ar,university_en,university_ar,degree,fundingType,majors,deadline,link,image,keywords,status
11,Commonwealth Scholarship UK Masters and PhD,منحة الكومنولث المملكة المتحدة,Commonwealth Scholarships funded by the UK Foreign Commonwealth and Development Office FCDO enable talented students from Commonwealth countries to pursue postgraduate study at UK universities fully funded.,منح الكومنولث ممولة من مكتب الشؤون الخارجية البريطاني وتمكن الطلاب الموهوبين من دول الكومنولث من متابعة الدراسات العليا في الجامعات البريطانية بتمويل كامل.,United Kingdom,المملكة المتحدة,UK Universities,الجامعات البريطانية,Master,Fully Funded,All Fields | STEM | Business | Social Sciences | Public Health,2026-10-22,https://cscuk.fcdo.gov.uk/scholarships/,https://images.unsplash.com/photo-1573503814083-b89d5ac83e0d?q=80&w=800&auto=format&fit=crop,UK | Commonwealth | British | Master | PhD | Fully Funded | FCDO,approved
12,Vanier Canada Graduate Scholarship PhD,منحة فانييه كندا للخريجين,"The Vanier Canada Graduate Scholarships program attracts world-class doctoral students. Awards CAD 50000 per year for 3 years for PhD studies across health sciences, natural sciences, engineering, and social sciences.",يهدف برنامج منح فانييه كندا إلى استقطاب طلاب الدكتوراه ذوي المستوى العالمي. يمنح 50000 دولار كندي سنوياً لمدة 3 سنوات لدراسات الدكتوراه.,Canada,كندا,Canadian Universities,الجامعات الكندية,PhD,Fully Funded,Health Sciences | Natural Sciences | Engineering | Social Sciences | Humanities,2026-11-01,https://vanier.gc.ca/en/home-accueil.html,https://images.unsplash.com/photo-1517935706615-2717063c2225?q=80&w=800&auto=format&fit=crop,Canada | Vanier | Canadian | PhD | Fully Funded | Research | Graduate,approved
13,SINGA Scholarship Singapore PhD,منحة SINGA سنغافورة للدكتوراه,The Singapore International Graduate Award SINGA is for international students pursuing a PhD at Singapore top research institutes including A*STAR NUS NTU and SUTD. Fully funded with monthly stipend airfare and allowance.,جائزة سنغافورة الدولية للخريجين SINGA للطلاب الدوليين الذين يسعون للدكتوراه في أفضل معاهد البحث في سنغافورة. ممولة بالكامل مع راتب شهري وأجرة جوية.,Singapore,سنغافورة,NUS NTU A*STAR SUTD Singapore,NUS / NTU / A*STAR / SUTD سنغافورة,PhD,Fully Funded,Science | Engineering | Technology | Biomedical Sciences | Computing,2027-01-01,https://www.singa.a-star.edu.sg/,https://images.unsplash.com/photo-1525625293386-3f8f99389edd?q=80&w=800&auto=format&fit=crop,Singapore | SINGA | NUS | NTU | PhD | Fully Funded | Research | STEM,approved
14,ETH Zurich Excellence Scholarship Switzerland,منحة التميز في ETH زيورخ سويسرا,The Excellence Scholarship Opportunity Programme ESOP of ETH Zurich supports outstanding students pursuing a masters degree at one of the worlds top-ranked technical universities. Award covers tuition fees and monthly living stipend.,يدعم برنامج ESOP في ETH زيورخ الطلاب المتميزين الراغبين في متابعة الماجستير في إحدى أعلى الجامعات التقنية مرتبةً في العالم. يغطي الرسوم الدراسية والراتب الشهري.,Switzerland,سويسرا,ETH Zurich,جامعة ETH زيورخ,Master,Fully Funded,Engineering | Science | Architecture | Mathematics | Computer Science,2026-12-15,https://ethz.ch/en/studies/financial/scholarships/excellence-scholarship.html,https://images.unsplash.com/photo-1589519160732-576f165b9aad?q=80&w=800&auto=format&fit=crop,Switzerland | ETH | Zurich | Master | Fully Funded | Engineering | STEM,approved
15,EPFL Excellence Fellowships Lausanne Switzerland,زمالات التميز في EPFL لوزان سويسرا,The EPFL Excellence Fellowships for outstanding students pursuing a masters degree at Ecole Polytechnique Federale de Lausanne consistently ranked among the worlds top universities. Covers tuition and monthly stipend.,زمالات التميز في EPFL للطلاب المتميزين لمتابعة الماجستير في المدرسة البوليتكنيكية الفيدرالية في لوزان. تغطي الرسوم الدراسية والراتب الشهري.,Switzerland,سويسرا,EPFL Lausanne,EPFL لوزان,Master,Fully Funded,Engineering | Computer Science | Physics | Mathematics | Life Sciences,2026-12-01,https://www.epfl.ch/education/master/master-in-engineering/excellence-fellowship/,https://images.unsplash.com/photo-1487958449943-2429e8be8625?q=80&w=800&auto=format&fit=crop,Switzerland | EPFL | Lausanne | Master | Fully Funded | Engineering | Science,approved
16,Aga Khan Foundation International Scholarship,منحة مؤسسة آغا خان الدولية,The Aga Khan Foundation AKF offers scholarships for postgraduate study to outstanding students from developing countries who have no other means of financing their studies. Given as 50 percent grant and 50 percent loan.,تقدم مؤسسة آغا خان AKF منحاً دراسية للدراسات العليا لطلاب متميزين من الدول النامية ليس لديهم وسائل أخرى لتمويل دراستهم. تمنح بنسبة 50 بالمئة منحة و50 بالمئة قرض.,Multiple Countries,دول متعددة,Top Universities Worldwide,أفضل الجامعات في العالم,Master,Partially Funded,Development | Health | Education | Architecture | Engineering,2027-03-31,https://www.akdn.org/our-agencies/aga-khan-foundation/international-scholarship-programme,https://images.unsplash.com/photo-1523240795612-9a054b0db644?q=80&w=800&auto=format&fit=crop,Aga Khan | International | Master | Partially Funded | Development | Developing Countries,approved
17,French Government Eiffel Excellence Scholarship,منحة حكومة فرنسا إيفل للتميز,"The Eiffel Excellence Scholarship Programme managed by Campus France attracts top foreign students to masters and PhD programs at French higher education institutions. Covers monthly allowance, health insurance, and transportation.",برنامج منحة التميز إيفل الذي تديره Campus France يستقطب أفضل الطلاب الأجانب في برامج الماجستير والدكتوراه في المؤسسات الفرنسية. يغطي البدل الشهري والتأمين والمواصلات.,France,فرنسا,French Universities,الجامعات الفرنسية,Master,Fully Funded,Engineering | Law | Economics | Political Science | Sciences | Management,2027-01-12,https://www.campusfrance.org/en/eiffel-scholarship-program-of-excellence,https://images.unsplash.com/photo-1502602898657-3e91760cbb34?q=80&w=800&auto=format&fit=crop,France | French | Eiffel | Master | PhD | Fully Funded | Excellence | Paris,approved
18,Orange Knowledge Programme OKP Netherlands,برنامج المعرفة البرتقالي هولندا,The Orange Knowledge Programme OKP is the Netherlands Fellowship Programmes main scholarship for professionals from eligible countries to pursue a masters degree at a Dutch institution funded by the Dutch Ministry of Foreign Affairs.,برنامج المعرفة البرتقالي OKP هو المنحة الرئيسية لبرامج الزمالة الهولندية للمهنيين من الدول المؤهلة لمتابعة الماجستير في مؤسسة هولندية.,Netherlands,هولندا,Dutch Institutions Wageningen Delft IHE,المؤسسات الهولندية,Master,Fully Funded,Agriculture | Water Management | Public Health | Education | Governance,2027-02-28,https://www.studyinholland.nl/scholarships/highlighted-scholarships/orange-knowledge-programme,https://images.unsplash.com/photo-1534351590666-13e3e96b5017?q=80&w=800&auto=format&fit=crop,Netherlands | Dutch | OKP | Orange Knowledge | Master | Fully Funded | Holland,approved
19,Rotary Peace Fellowship,زمالة روتاري للسلام,The Rotary Peace Fellowship supports individuals committed to promoting peace. Fellows study at one of six Rotary Peace Centers around the world pursuing a masters degree in peace and conflict resolution fully funded.,تدعم زمالة روتاري للسلام الأفراد الملتزمين بتعزيز السلام. يدرس الزملاء في أحد مراكز روتاري للسلام الستة حول العالم لمتابعة ماجستير في دراسات السلام وحل النزاعات.,Multiple Countries,دول متعددة,Rotary Peace Centers Duke York Bradford Chulalongkorn,مراكز روتاري للسلام,Master,Fully Funded,Peace Studies | International Relations | Conflict Resolution | Development,2027-05-31,https://www.rotary.org/en/our-programs/peace-fellowships,https://images.unsplash.com/photo-1509358271058-acd22cc93898?q=80&w=800&auto=format&fit=crop,Rotary | Peace | Fellowship | Master | Fully Funded | International | Conflict Resolution,approved
20,KAIST International Graduate Scholarship South Korea,منحة KAIST الدولية للدراسات العليا كوريا,"KAIST Korea Advanced Institute of Science and Technology offers international graduate scholarships for outstanding students worldwide. Covers full tuition, monthly living allowance, and medical insurance for masters and PhD programs.",تقدم KAIST معهد كوريا المتقدم للعلوم والتكنولوجيا منحاً دراسية للطلاب الدوليين المتميزين. تغطي الرسوم الكاملة والبدل الشهري والتأمين الطبي.,South Korea,كوريا الجنوبية,KAIST Korea Advanced Institute of Science and Technology,معهد كوريا المتقدم للعلوم والتكنولوجيا KAIST,PhD,Fully Funded,Computer Science | Engineering | Physics | Chemistry | Bioscience,2027-03-15,https://admission.kaist.ac.kr/intl-graduate/,https://images.unsplash.com/photo-1526374965328-7f61d4dc18c5?q=80&w=800&auto=format&fit=crop,Korea | KAIST | South Korea | PhD | Master | Fully Funded | STEM | Technology,approved
21,KAUST Fellowship King Abdullah University Saudi Arabia,زمالة جامعة الملك عبدالله KAUST السعودية,"The KAUST Fellowship provides a comprehensive financial package for graduate students including full tuition, monthly stipend, housing, medical coverage, and relocation allowance for MS and PhD programs in STEM fields.",توفر زمالة KAUST حزمة مالية شاملة للطلاب تشمل الرسوم الكاملة والراتب الشهري والسكن والتغطية الطبية وبدل الانتقال لبرامج الماجستير والدكتوراه في STEM.,Saudi Arabia,المملكة العربية السعودية,KAUST King Abdullah University of Science and Technology,جامعة الملك عبدالله للعلوم والتقنية KAUST,Master,Fully Funded,Bioscience | Engineering | Computer Science | Environmental Science | Mathematics | Physics,2027-01-15,https://www.kaust.edu.sa/en/study/applying-to-kaust/tuition-fees-and-financial-assistance,https://images.unsplash.com/photo-1547481053-7d174f67b557?q=80&w=800&auto=format&fit=crop,Saudi Arabia | KAUST | Saudi | Master | PhD | Fully Funded | STEM | Research,approved
22,Stipendium Hungaricum Scholarship Hungary,منحة Stipendium Hungaricum هنغاريا,"The Stipendium Hungaricum programme enables international students from partner countries to study in Hungary. The scholarship covers tuition fees, accommodation, a monthly stipend, and health insurance.",برنامج Stipendium Hungaricum يمكن الطلاب الدوليين من الدول الشريكة من الدراسة في هنغاريا. يغطي الرسوم الدراسية والسكن والراتب الشهري والتأمين الصحي.,Hungary,هنغاريا,Hungarian Universities,الجامعات الهنغارية,Master,Fully Funded,All Fields | Engineering | Medicine | Arts | Sciences | Business,2027-01-15,https://stipendiumhungaricum.hu/,https://images.unsplash.com/photo-1576169342067-a06c41b30a34?q=80&w=800&auto=format&fit=crop,Hungary | Hungarian | Stipendium | Master | Bachelor | PhD | Fully Funded,approved
23,Turkish Government Scholarship Turkiye Burslari,منحة الحكومة التركية Turkiye Burslari,Turkiye Scholarships is a government-funded program for international students at bachelor masters and PhD level. Covers full tuition accommodation monthly stipend health insurance Turkish language course and travel.,برنامج منح تركيا هو برنامج منح ممول حكومياً للطلاب الدوليين. يغطي الرسوم الكاملة والسكن والراتب والتأمين ودورة اللغة التركية والسفر.,Turkey,تركيا,Turkish Universities,الجامعات التركية,Master,Fully Funded,All Fields | Engineering | Medicine | Arts | Social Sciences | Agriculture,2027-02-20,https://www.turkiyeburslari.gov.tr/en,https://images.unsplash.com/photo-1541432901042-2d8bd64b4a9b?q=80&w=800&auto=format&fit=crop,Turkey | Turkish | Turkiye | Master | Bachelor | PhD | Fully Funded | Government,approved
24,Chinese Government Scholarship CSC Program,منحة الحكومة الصينية برنامج CSC,The Chinese Government Scholarship administered by China Scholarship Council CSC funds international students to study at Chinese universities. Covers tuition accommodation stipend and health insurance for masters bachelor and PhD.,تموّل منحة الحكومة الصينية التي يديرها مجلس المنح الصينية CSC الطلاب الدوليين للدراسة في الجامعات الصينية. تغطي الرسوم والسكن والراتب والتأمين.,China,الصين,Chinese Universities,الجامعات الصينية,Master,Fully Funded,All Fields | Engineering | Medicine | Science | Business | Arts,2027-04-30,https://www.campuschina.org/,https://images.unsplash.com/photo-1547981609-4b6bfe67ca0b?q=80&w=800&auto=format&fit=crop,China | Chinese | CSC | Master | Bachelor | PhD | Fully Funded | Beijing | Shanghai,approved
25,Stanford Knight-Hennessy Scholars Program,برنامج ستانفورد للعلماء نايت-هينيسي,One of the largest fully funded graduate fellowships in the world selecting up to 100 students annually to pursue any graduate degree at Stanford University with full financial support.,أحد أكبر برامج الزمالة للدراسات العليا الممولة بالكامل في العالم. يختار ما يصل إلى 100 طالب سنوياً من جميع أنحاء العالم لمتابعة أي درجة دراسات عليا في جامعة ستانفورد.,United States,الولايات المتحدة الأمريكية,Stanford University,جامعة ستانفورد,Master,Fully Funded,All Fields | Business | Law | Medicine | Education | Engineering,2026-10-08,https://knight-hennessy.stanford.edu/,https://images.unsplash.com/photo-1564565694-4c0e62ea0c39?q=80&w=800&auto=format&fit=crop,USA | Stanford | Knight-Hennessy | Master | PhD | Fully Funded | Prestigious | Ivy,approved
26,Harvard University GSAS Graduate Fellowship,زمالة هارفارد للدراسات العليا,Harvard University Griffin GSAS provides PhD students with multi-year funding packages including stipend health insurance and tuition covering 100 percent of demonstrated financial need for admitted graduate students.,توفر كلية هارفارد للدراسات العليا Griffin GSAS لطلاب الدكتوراه حزم تمويل متعددة السنوات تشمل الراتب والتأمين الصحي والرسوم الدراسية.,United States,الولايات المتحدة الأمريكية,Harvard University,جامعة هارفارد,PhD,Fully Funded,Humanities | Social Sciences | Sciences | Arts | Engineering,2026-12-01,https://gsas.harvard.edu/financial-support,https://images.unsplash.com/photo-1576495199011-eb94736d05d6?q=80&w=800&auto=format&fit=crop,USA | Harvard | PhD | Fully Funded | Prestigious | Ivy League | Research,approved
27,NUS Research Scholarship Singapore,منحة البحث في جامعة سنغافورة الوطنية NUS,The National University of Singapore NUS offers Research Scholarships to outstanding graduate students for full-time research degree programs. Covers tuition fees and provides a monthly stipend. NUS is Asia top-ranked university.,تقدم جامعة سنغافورة الوطنية NUS منحاً بحثية للطلاب المتميزين لبرامج درجات البحث بدوام كامل. تغطي الرسوم الدراسية وتوفر راتباً شهرياً. NUS هي الجامعة الأعلى تصنيفاً في آسيا.,Singapore,سنغافورة,National University of Singapore NUS,جامعة سنغافورة الوطنية NUS,PhD,Fully Funded,Engineering | Computing | Science | Business | Medicine | Law,2026-11-15,https://nusgs.nus.edu.sg/scholarships/,https://images.unsplash.com/photo-1565967511849-76a60a516170?q=80&w=800&auto=format&fit=crop,Singapore | NUS | National University | PhD | Fully Funded | Research | Asia,approved
28,University of Melbourne Graduate Research Scholarship,منحة بحث الدراسات العليا في جامعة ملبورن,The Melbourne Research Scholarship MRS includes an annual living allowance and tuition fee remission for PhD students pursuing research degrees at the University of Melbourne one of Australia leading universities.,منحة البحث في ملبورن MRS تشمل بدل المعيشة السنوي والإعفاء من الرسوم الدراسية لطلاب الدكتوراه في جامعة ملبورن إحدى الجامعات الأسترالية الرائدة.,Australia,أستراليا,University of Melbourne,جامعة ملبورن,PhD,Fully Funded,All Fields | Science | Arts | Engineering | Medicine | Law,2026-10-31,https://scholarships.unimelb.edu.au/awards/melbourne-research-scholarship,https://images.unsplash.com/photo-1514395462725-fb4566210144?q=80&w=800&auto=format&fit=crop,Australia | Melbourne | PhD | Fully Funded | Research | Australian,approved
29,TU Delft Excellence Scholarship Netherlands,منحة التميز في TU دلفت هولندا,Delft University of Technology offers the TU Delft Excellence Scholarship for outstanding non-EEA masters students. Covers full tuition fees plus monthly living allowance for the entire two-year masters program duration.,تقدم جامعة دلفت للتكنولوجيا منحة TU دلفت للتميز لطلاب الماجستير المتميزين من خارج المنطقة الاقتصادية الأوروبية. تغطي الرسوم الكاملة وبدل المعيشة الشهري.,Netherlands,هولندا,TU Delft Delft University of Technology,جامعة دلفت للتكنولوجيا,Master,Fully Funded,Engineering | Architecture | Technology | Industrial Design | Aerospace,2027-02-01,https://www.tudelft.nl/en/education/practical-matters/scholarships/tu-delft-excellence-scholarships,https://images.unsplash.com/photo-1534430480872-3498386e7856?q=80&w=800&auto=format&fit=crop,Netherlands | Delft | TU Delft | Master | Fully Funded | Engineering | Technology,approved
30,Italian Government Scholarship MAECI Program,منحة الحكومة الإيطالية MAECI,The Italian Government through the Ministry of Foreign Affairs and International Cooperation MAECI offers scholarships for foreign citizens to study in Italy. Covers accommodation living allowance and health insurance.,تقدم الحكومة الإيطالية من خلال وزارة الخارجية MAECI منحاً دراسية للمواطنين الأجانب الراغبين في الدراسة في إيطاليا. تغطي السكن وبدل المعيشة والتأمين الصحي.,Italy,إيطاليا,Italian Universities,الجامعات الإيطالية,Master,Fully Funded,Arts | Architecture | Sciences | Engineering | Humanities | Fashion Design,2026-10-30,https://www.esteri.it/en/opportunities-and-resources/borse-di-studio/,https://images.unsplash.com/photo-1523906834658-6e24ef2386f9?q=80&w=800&auto=format&fit=crop,Italy | Italian | MAECI | Master | PhD | Fully Funded | Rome | Milan,approved
31,Cambridge Trust International Scholarship,منحة Cambridge Trust الدولية,Cambridge Trust awards scholarships to outstanding international applicants pursuing masters or doctoral degrees at the University of Cambridge. Available across all subjects and can cover tuition fees and maintenance costs.,تمنح Cambridge Trust منحاً للمتقدمين الدوليين المتميزين الراغبين في متابعة الماجستير أو الدكتوراه في جامعة كامبريدج. متاحة في جميع التخصصات وتغطي الرسوم وتكاليف الصيانة.,United Kingdom,المملكة المتحدة,University of Cambridge,جامعة كامبريدج,Master,Fully Funded,All Fields | Science | Arts | Law | Engineering | Medicine,2026-12-05,https://www.cambridgetrust.org/,https://images.unsplash.com/photo-1607237138185-eedd9c632b0b?q=80&w=800&auto=format&fit=crop,Cambridge | UK | Master | PhD | Fully Funded | Prestigious | British,approved
32,Imperial College London Presidents PhD Scholarships,منح رئيس Imperial College للدكتوراه,Imperial College London offers Presidents PhD Scholarships for doctoral research across all STEM disciplines. Provides full tuition fees annual stipend and research budget for three to four years of doctoral study.,تقدم Imperial College London منح رئيس الجامعة للدكتوراه في جميع تخصصات STEM. توفر الرسوم الكاملة والراتب السنوي وميزانية البحث لثلاث إلى أربع سنوات.,United Kingdom,المملكة المتحدة,Imperial College London,Imperial College London,PhD,Fully Funded,Engineering | Science | Medicine | Computing | Mathematics | Physics,2027-01-08,https://www.imperial.ac.uk/study/fees-and-funding/president-phd-scholarships/,https://images.unsplash.com/photo-1529655683823-dcbf3d4f9746?q=80&w=800&auto=format&fit=crop,UK | Imperial | London | PhD | Fully Funded | STEM | Research | British,approved
33,Leiden University Excellence Scholarship LExS Netherlands,منحة تميز جامعة ليدن LExS هولندا,Leiden University offers the Excellence Scholarship Programme LExS to the best non-EEA masters students. Three levels of awards 10000 EUR 15000 EUR or Full tuition plus 10000 EUR based on academic excellence.,تقدم جامعة ليدن برنامج المنح الدراسية للتميز LExS لأفضل طلاب الماجستير من خارج المنطقة الاقتصادية الأوروبية. ثلاثة مستويات من الجوائز بناءً على التميز الأكاديمي.,Netherlands,هولندا,Leiden University,جامعة ليدن,Master,Partially Funded,All Fields | Law | Social Sciences | Humanities | Sciences | Governance,2027-02-01,https://www.universiteitleiden.nl/en/education/scholarships-and-grants/excellence-scholarship-programme,https://images.unsplash.com/photo-1512470876302-972faa2aa9a4?q=80&w=800&auto=format&fit=crop,Netherlands | Leiden | Holland | Master | Excellence | Partially Funded,approved
34,NYU Abu Dhabi Presidential Fellowship UAE,زمالة رئيس جامعة نيويورك أبوظبي الإمارات,NYU Abu Dhabi offers Presidential Fellowships to exceptional graduate students accepted to PhD programs. Covers full tuition fees competitive monthly stipend housing travel and health coverage for the full degree duration.,تقدم جامعة نيويورك أبوظبي زمالاتها الرئاسية لطلاب الدكتوراه الاستثنائيين المقبولين. تغطي الرسوم الكاملة والراتب الشهري التنافسي والسكن والسفر والتأمين الصحي.,United Arab Emirates,الإمارات العربية المتحدة,NYU Abu Dhabi,جامعة نيويورك أبوظبي,PhD,Fully Funded,Sciences | Social Sciences | Humanities | Arts | Engineering | Economics,2026-11-01,https://nyuad.nyu.edu/en/academics/graduate-programs.html,https://images.unsplash.com/photo-1551434678-e076c223a692?q=80&w=800&auto=format&fit=crop,UAE | NYU | Abu Dhabi | PhD | Fully Funded | Middle East | International,approved
